num_regions 48
num_pairs 1128
resolution 0.200
inflate_radius 0.200
min_search_world_z 1.000
max_search_world_z 1.200
min_search_world_x -4.000
max_search_world_x 12.500
world_x_rule allow_inside_any_region_xy
map_shrink_x 0.000
map_shrink_y 0.000
resample_spacing 0.250
begin_paths
path 0 36_Flightsite_11 1 34_Flightsite_9 reachable
num_points 44
6.5738 4.2922 1.1930
6.7832 4.1557 1.1930
6.9926 4.0191 1.1930
7.2020 3.8825 1.1930
7.4114 3.7460 1.1930
7.6208 3.6094 1.1930
7.8302 3.4728 1.1930
8.0396 3.3363 1.1930
8.2490 3.1997 1.1930
8.4584 3.0631 1.1930
8.6678 2.9266 1.1930
8.7760 2.8560 1.1930
end_path
path 0 36_Flightsite_11 4 35_Flightsite_10 reachable
num_points 24
0.5760 -10.5440 1.1930
0.5575 -10.2947 1.1930
0.5391 -10.0454 1.1930
0.5206 -9.7960 1.1930
0.5021 -9.5467 1.1930
0.4837 -9.2974 1.1930
0.4652 -9.0481 1.1930
0.4467 -8.7988 1.1930
0.4283 -8.5495 1.1930
0.4098 -8.3001 1.1930
0.3913 -8.0508 1.1930
0.3729 -7.8015 1.1930
0.3544 -7.5522 1.1930
0.3359 -7.3029 1.1930
0.3174 -7.0536 1.1930
0.2990 -6.8042 1.1930
0.2805 -6.5549 1.1930
0.2620 -6.3056 1.1930
0.2436 -6.0563 1.1930
0.2251 -5.8070 1.1930
0.2066 -5.5577 1.1930
0.1882 -5.3083 1.1930
0.2363 -5.0837 1.1930
0.3760 -4.9440 1.1930
end_path
path 0 36_Flightsite_11 5 30_Flightsite_5 reachable
num_points 77
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
2.2926 -12.3615 1.1930
2.4642 -12.5433 1.1930
2.6359 -12.7250 1.1930
2.8075 -12.9068 1.1930
2.9792 -13.0885 1.1930
3.1508 -13.2703 1.1930
3.3225 -13.4521 1.1930
3.4941 -13.6338 1.1930
3.6658 -13.8156 1.1930
3.8375 -13.9973 1.1930
4.0101 -14.1781 1.1930
4.1869 -14.3331 1.1930
4.3637 -14.1563 1.1930
4.5404 -13.9796 1.1930
4.7172 -13.8028 1.1930
4.8234 -13.5840 1.1930
4.8944 -13.3443 1.1930
4.9654 -13.1046 1.1930
5.0365 -12.8649 1.1930
5.1075 -12.6252 1.1930
5.1785 -12.3855 1.1930
5.2495 -12.1458 1.1930
5.3206 -11.9061 1.1930
5.3916 -11.6664 1.1930
5.4626 -11.4267 1.1930
5.5336 -11.1870 1.1930
5.6046 -10.9473 1.1930
5.6757 -10.7076 1.1930
5.7467 -10.4679 1.1930
5.8177 -10.2282 1.1930
5.8887 -9.9885 1.1930
5.9598 -9.7488 1.1930
6.0308 -9.5091 1.1930
6.1018 -9.2694 1.1930
6.1728 -9.0297 1.1930
6.2438 -8.7900 1.1930
6.3149 -8.5503 1.1930
6.3859 -8.3106 1.1930
6.4569 -8.0709 1.1930
6.5279 -7.8312 1.1930
6.5990 -7.5915 1.1930
6.6700 -7.3518 1.1930
6.7410 -7.1121 1.1930
6.8120 -6.8724 1.1930
6.8830 -6.6327 1.1930
6.9541 -6.3930 1.1930
7.0251 -6.1533 1.1930
7.0961 -5.9136 1.1930
7.1671 -5.6739 1.1930
7.2382 -5.4342 1.1930
7.3092 -5.1945 1.1930
7.3802 -4.9548 1.1930
7.4512 -4.7151 1.1930
7.5222 -4.4754 1.1930
7.5933 -4.2357 1.1930
7.6643 -3.9960 1.1930
7.7353 -3.7563 1.1930
7.8063 -3.5166 1.1930
7.8774 -3.2769 1.1930
7.9484 -3.0372 1.1930
8.0840 -2.8360 1.1930
8.2608 -2.6592 1.1930
8.4376 -2.4824 1.1930
8.6143 -2.3057 1.1930
8.7911 -2.1289 1.1930
8.9679 -1.9521 1.1930
8.9760 -1.9440 1.1930
end_path
path 0 36_Flightsite_11 6 29_Flightsite_4 reachable
num_points 60
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
2.2926 -12.3615 1.1930
2.4642 -12.5433 1.1930
2.6359 -12.7250 1.1930
2.8075 -12.9068 1.1930
2.9792 -13.0885 1.1930
3.1508 -13.2703 1.1930
3.3225 -13.4521 1.1930
3.4941 -13.6338 1.1930
3.6658 -13.8156 1.1930
3.8375 -13.9973 1.1930
4.0101 -14.1781 1.1930
4.1869 -14.3331 1.1930
4.3637 -14.1563 1.1930
4.5404 -13.9796 1.1930
4.7172 -13.8028 1.1930
4.8218 -13.5836 1.1930
4.8905 -13.3432 1.1930
4.9592 -13.1028 1.1930
5.0279 -12.8624 1.1930
5.0966 -12.6220 1.1930
5.1652 -12.3817 1.1930
5.2339 -12.1413 1.1930
5.3026 -11.9009 1.1930
5.3713 -11.6605 1.1930
5.4400 -11.4201 1.1930
5.5086 -11.1797 1.1930
5.5773 -10.9394 1.1930
5.6460 -10.6990 1.1930
5.7147 -10.4586 1.1930
5.7834 -10.2182 1.1930
5.8520 -9.9778 1.1930
5.9207 -9.7375 1.1930
6.0105 -9.5095 1.1930
6.1873 -9.3327 1.1930
6.3641 -9.1559 1.1930
6.5408 -8.9792 1.1930
6.7176 -8.8024 1.1930
6.8944 -8.6256 1.1930
7.0712 -8.4488 1.1930
7.2479 -8.2721 1.1930
7.4247 -8.0953 1.1930
7.6015 -7.9185 1.1930
7.7783 -7.7417 1.1930
7.9550 -7.5649 1.1930
8.1318 -7.3882 1.1930
8.3086 -7.2114 1.1930
8.4854 -7.0346 1.1930
8.6622 -6.8578 1.1930
8.8389 -6.6811 1.1930
8.9760 -6.5440 1.1930
end_path
path 0 36_Flightsite_11 7 28_Flightsite_3 reachable
num_points 46
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
2.2926 -12.3615 1.1930
2.4642 -12.5433 1.1930
2.6359 -12.7250 1.1930
2.8075 -12.9068 1.1930
2.9792 -13.0885 1.1930
3.1508 -13.2703 1.1930
3.3225 -13.4521 1.1930
3.4941 -13.6338 1.1930
3.6658 -13.8156 1.1930
3.8375 -13.9973 1.1930
4.0101 -14.1781 1.1930
4.1878 -14.3341 1.1930
4.3799 -14.1741 1.1930
4.5719 -14.0141 1.1930
4.7640 -13.8540 1.1930
4.9560 -13.6940 1.1930
5.1481 -13.5339 1.1930
5.3402 -13.3739 1.1930
5.5322 -13.2138 1.1930
5.7243 -13.0538 1.1930
5.9163 -12.8937 1.1930
6.1084 -12.7337 1.1930
6.3004 -12.5736 1.1930
6.4925 -12.4136 1.1930
6.6980 -12.2728 1.1930
6.9140 -12.1468 1.1930
7.1299 -12.0209 1.1930
7.3459 -11.8949 1.1930
7.5618 -11.7689 1.1930
7.7778 -11.6430 1.1930
7.9937 -11.5170 1.1930
8.2097 -11.3910 1.1930
8.4256 -11.2651 1.1930
8.6415 -11.1391 1.1930
8.8575 -11.0131 1.1930
8.9760 -10.9440 1.1930
end_path
path 0 36_Flightsite_11 8 23_HardwareDepartment reachable
num_points 71
0.5760 -10.5440 1.1930
0.7379 -10.7345 1.1930
0.8998 -10.9250 1.1930
1.0617 -11.1155 1.1930
1.2236 -11.3059 1.1930
1.3856 -11.4964 1.1930
1.5475 -11.6869 1.1930
1.7094 -11.8774 1.1930
1.8713 -12.0679 1.1930
2.0332 -12.2584 1.1930
2.1951 -12.4488 1.1930
2.3570 -12.6393 1.1930
2.5189 -12.8298 1.1930
2.6809 -13.0203 1.1930
2.8428 -13.2108 1.1930
3.0047 -13.4013 1.1930
3.1666 -13.5918 1.1930
3.3285 -13.7822 1.1930
3.4904 -13.9727 1.1930
3.6523 -14.1632 1.1930
3.8142 -14.3537 1.1930
3.9760 -14.5442 1.1930
3.9575 -14.7936 1.1930
3.9390 -15.0429 1.1930
3.9206 -15.2922 1.1930
3.9021 -15.5415 1.1930
3.8836 -15.7908 1.1930
3.8652 -16.0401 1.1930
3.8467 -16.2895 1.1930
3.8282 -16.5388 1.1930
3.8098 -16.7881 1.1930
3.7913 -17.0374 1.1930
3.7728 -17.2867 1.1930
3.7544 -17.5360 1.1930
3.7359 -17.7854 1.1930
3.7174 -18.0347 1.1930
3.6990 -18.2840 1.1930
3.6805 -18.5333 1.1930
3.6620 -18.7826 1.1930
3.6436 -19.0319 1.1930
3.6251 -19.2813 1.1930
3.6066 -19.5306 1.1930
3.5882 -19.7799 1.1930
3.5760 -20.0294 1.1930
3.5760 -20.2794 1.1930
3.7071 -20.4751 1.1930
3.8839 -20.6519 1.1930
4.0896 -20.7819 1.1930
4.3268 -20.8609 1.1930
4.5640 -20.9400 1.1930
4.8011 -21.0190 1.1930
5.0383 -21.0981 1.1930
5.2501 -21.2181 1.1930
5.4452 -21.3638 1.1930
5.6856 -21.4325 1.1930
5.9260 -21.5011 1.1930
6.1664 -21.5698 1.1930
6.4068 -21.6385 1.1930
6.6471 -21.7072 1.1930
6.8580 -21.8260 1.1930
7.0348 -22.0028 1.1930
7.2116 -22.1796 1.1930
7.3883 -22.3563 1.1930
7.5651 -22.5331 1.1930
7.7419 -22.7099 1.1930
7.9187 -22.8867 1.1930
8.0954 -23.0634 1.1930
8.2722 -23.2402 1.1930
8.4490 -23.4170 1.1930
8.5760 -23.6144 1.1930
8.5760 -23.7440 1.1930
end_path
path 0 36_Flightsite_11 9 27_Flightsite_2 reachable
num_points 41
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
2.2926 -12.3615 1.1930
2.4642 -12.5433 1.1930
2.6359 -12.7250 1.1930
2.8075 -12.9068 1.1930
2.9792 -13.0885 1.1930
3.1508 -13.2703 1.1930
3.3225 -13.4521 1.1930
3.4941 -13.6338 1.1930
3.6658 -13.8156 1.1930
3.8375 -13.9973 1.1930
4.0101 -14.1781 1.1930
4.1905 -14.3493 1.1930
4.4254 -14.4347 1.1930
4.6604 -14.5201 1.1930
4.8953 -14.6056 1.1930
5.1303 -14.6910 1.1930
5.3652 -14.7764 1.1930
5.6002 -14.8619 1.1930
5.8351 -14.9473 1.1930
6.0701 -15.0327 1.1930
6.3050 -15.1182 1.1930
6.5399 -15.2036 1.1930
6.7749 -15.2891 1.1930
7.0098 -15.3745 1.1930
7.2448 -15.4599 1.1930
7.4797 -15.5454 1.1930
7.7147 -15.6308 1.1930
7.9496 -15.7162 1.1930
8.1846 -15.8017 1.1930
8.4195 -15.8871 1.1930
8.5760 -15.9440 1.1930
end_path
path 0 36_Flightsite_11 10 25_TestRoom reachable
num_points 40
0.5760 -10.5440 1.1930
0.7379 -10.7345 1.1930
0.8998 -10.9250 1.1930
1.0617 -11.1155 1.1930
1.2236 -11.3059 1.1930
1.3856 -11.4964 1.1930
1.5475 -11.6869 1.1930
1.7094 -11.8774 1.1930
1.8713 -12.0679 1.1930
2.0332 -12.2584 1.1930
2.1951 -12.4488 1.1930
2.3570 -12.6393 1.1930
2.5189 -12.8298 1.1930
2.6809 -13.0203 1.1930
2.8428 -13.2108 1.1930
3.0047 -13.4013 1.1930
3.1666 -13.5918 1.1930
3.3285 -13.7822 1.1930
3.4904 -13.9727 1.1930
3.6523 -14.1632 1.1930
3.8142 -14.3537 1.1930
3.9758 -14.5442 1.1930
3.7991 -14.7209 1.1930
3.6223 -14.8977 1.1930
3.4455 -15.0745 1.1930
3.2567 -15.2377 1.1930
3.0601 -15.3922 1.1930
2.8635 -15.5466 1.1930
2.6670 -15.7011 1.1930
2.4704 -15.8555 1.1930
2.2738 -16.0100 1.1930
2.0772 -16.1645 1.1930
1.8807 -16.3189 1.1930
1.6841 -16.4734 1.1930
1.4875 -16.6278 1.1930
1.2909 -16.7823 1.1930
1.0943 -16.9367 1.1930
0.8978 -17.0912 1.1930
0.7012 -17.2456 1.1930
0.5760 -17.3440 1.1930
end_path
path 0 36_Flightsite_11 11 18_409MeetingRoom_2 reachable
num_points 144
0.5760 -10.5440 1.1930
0.7379 -10.7345 1.1930
0.8998 -10.9250 1.1930
1.0617 -11.1155 1.1930
1.2236 -11.3059 1.1930
1.3856 -11.4964 1.1930
1.5475 -11.6869 1.1930
1.7094 -11.8774 1.1930
1.8713 -12.0679 1.1930
2.0332 -12.2584 1.1930
2.1951 -12.4488 1.1930
2.3570 -12.6393 1.1930
2.5189 -12.8298 1.1930
2.6809 -13.0203 1.1930
2.8428 -13.2108 1.1930
3.0047 -13.4013 1.1930
3.1666 -13.5918 1.1930
3.3285 -13.7822 1.1930
3.4904 -13.9727 1.1930
3.6523 -14.1632 1.1930
3.8142 -14.3537 1.1930
3.9760 -14.5442 1.1930
3.9575 -14.7936 1.1930
3.9390 -15.0429 1.1930
3.9206 -15.2922 1.1930
3.9021 -15.5415 1.1930
3.8836 -15.7908 1.1930
3.8652 -16.0401 1.1930
3.8467 -16.2895 1.1930
3.8282 -16.5388 1.1930
3.8098 -16.7881 1.1930
3.7913 -17.0374 1.1930
3.7728 -17.2867 1.1930
3.7544 -17.5360 1.1930
3.7359 -17.7854 1.1930
3.7174 -18.0347 1.1930
3.6990 -18.2840 1.1930
3.6805 -18.5333 1.1930
3.6620 -18.7826 1.1930
3.6436 -19.0319 1.1930
3.6251 -19.2813 1.1930
3.6066 -19.5306 1.1930
3.5882 -19.7799 1.1930
3.5760 -20.0294 1.1930
3.5760 -20.2794 1.1930
3.5760 -20.5294 1.1930
3.5760 -20.7794 1.1930
3.5760 -21.0294 1.1930
3.5760 -21.2794 1.1930
3.5760 -21.5294 1.1930
3.5760 -21.7794 1.1930
3.5760 -22.0294 1.1930
3.5760 -22.2794 1.1930
3.5760 -22.5294 1.1930
3.5760 -22.7794 1.1930
3.5760 -23.0294 1.1930
3.5760 -23.2794 1.1930
3.5760 -23.5294 1.1930
3.5760 -23.7794 1.1930
3.5760 -24.0294 1.1930
3.5760 -24.2794 1.1930
3.5760 -24.5294 1.1930
3.5760 -24.7794 1.1930
3.5760 -25.0294 1.1930
3.5760 -25.2794 1.1930
3.5760 -25.5294 1.1930
3.5760 -25.7794 1.1930
3.5760 -26.0294 1.1930
3.5760 -26.2794 1.1930
3.5760 -26.5294 1.1930
3.5760 -26.7794 1.1930
3.5760 -27.0294 1.1930
3.5760 -27.2794 1.1930
3.5760 -27.5294 1.1930
3.5760 -27.7794 1.1930
3.5760 -28.0294 1.1930
3.5760 -28.2794 1.1930
3.5760 -28.5294 1.1930
3.5760 -28.7794 1.1930
3.5760 -29.0294 1.1930
3.5760 -29.2794 1.1930
3.5760 -29.5294 1.1930
3.5760 -29.7794 1.1930
3.5760 -30.0294 1.1930
3.5760 -30.2794 1.1930
3.5760 -30.5294 1.1930
3.5760 -30.7794 1.1930
3.5760 -31.0294 1.1930
3.5760 -31.2794 1.1930
3.5760 -31.5294 1.1930
3.5760 -31.7794 1.1930
3.5760 -32.0294 1.1930
3.5760 -32.2794 1.1930
3.5760 -32.5294 1.1930
3.5760 -32.7794 1.1930
3.5760 -33.0294 1.1930
3.5760 -33.2794 1.1930
3.5760 -33.5294 1.1930
3.5760 -33.7794 1.1930
3.5760 -34.0294 1.1930
3.5760 -34.2794 1.1930
3.5760 -34.5294 1.1930
3.5760 -34.7794 1.1930
3.5760 -35.0294 1.1930
3.5760 -35.2794 1.1930
3.5760 -35.5294 1.1930
3.7425 -35.7105 1.1930
3.9193 -35.8873 1.1930
4.0960 -36.0640 1.1930
4.3129 -36.1440 1.1930
4.5629 -36.1440 1.1930
4.8021 -36.1179 1.1930
4.9789 -35.9411 1.1930
5.1557 -35.7643 1.1930
5.2582 -35.5386 1.1930
5.3510 -35.3065 1.1930
5.4439 -35.0744 1.1930
5.5367 -34.8422 1.1930
5.6780 -34.6420 1.1930
5.8547 -34.4653 1.1930
6.0315 -34.2885 1.1930
6.2083 -34.1117 1.1930
6.3851 -33.9349 1.1930
6.5618 -33.7582 1.1930
6.7386 -33.5814 1.1930
6.9154 -33.4046 1.1930
7.0922 -33.2278 1.1930
7.2690 -33.0510 1.1930
7.4457 -32.8743 1.1930
7.6225 -32.6975 1.1930
7.7993 -32.5207 1.1930
7.9761 -32.3439 1.1930
8.1528 -32.1672 1.1930
8.3296 -31.9904 1.1930
8.5439 -31.8677 1.1930
8.7715 -31.7642 1.1930
8.9991 -31.6608 1.1930
9.2267 -31.5573 1.1930
9.4542 -31.4539 1.1930
9.6818 -31.3504 1.1930
9.9094 -31.2470 1.1930
10.1370 -31.1435 1.1930
10.3646 -31.0401 1.1930
10.5760 -30.9440 1.1930
end_path
path 0 36_Flightsite_11 12 45_MarketingDepartment_2 reachable
num_points 170
0.5760 -10.5440 1.1930
0.7085 -10.3320 1.1930
0.8410 -10.1200 1.1930
0.9735 -9.9080 1.1930
1.1060 -9.6960 1.1930
1.2385 -9.4840 1.1930
1.3710 -9.2720 1.1930
1.5035 -9.0600 1.1930
1.5843 -8.8311 1.1930
1.6027 -8.5818 1.1930
1.6211 -8.3325 1.1930
1.6394 -8.0831 1.1930
1.6578 -7.8338 1.1930
1.6762 -7.5845 1.1930
1.6945 -7.3352 1.1930
1.7129 -7.0858 1.1930
1.7313 -6.8365 1.1930
1.7497 -6.5872 1.1930
1.7680 -6.3379 1.1930
1.7864 -6.0885 1.1930
1.8048 -5.8392 1.1930
1.8231 -5.5899 1.1930
1.8415 -5.3406 1.1930
1.8599 -5.0912 1.1930
1.8783 -4.8419 1.1930
1.8966 -4.5926 1.1930
1.9150 -4.3433 1.1930
1.9334 -4.0939 1.1930
1.9517 -3.8446 1.1930
1.9701 -3.5953 1.1930
1.9885 -3.3460 1.1930
2.0069 -3.0966 1.1930
2.0252 -2.8473 1.1930
2.0436 -2.5980 1.1930
2.0620 -2.3487 1.1930
2.0803 -2.0994 1.1930
2.0987 -1.8500 1.1930
2.1171 -1.6007 1.1930
2.1355 -1.3514 1.1930
2.1538 -1.1021 1.1930
2.1722 -0.8527 1.1930
2.1906 -0.6034 1.1930
2.2089 -0.3541 1.1930
